age,gender,income_annual,occupation,education,category,state,is_farmer,has_disability,land_holding_acres,has_bpl_card,family_size,PM_KISAN,PMAY,Ayushman_Bharat,PM_Scholarship,Kisan_Credit_Card,PMEGP,Disability_Pension,Minority_Scholarship
19,Female,988298,Salaried,Illiterate,General,Bihar,0,0,0.74,1,2,0,0,0,0,0,0,0,1
79,Male,371603,Salaried,Secondary,OBC,Gujarat,0,0,0.05,0,9,0,0,0,0,1,0,0,0
23,Female,803292,Student,Primary,General,Madhya Pradesh,0,0,0.22,0,9,0,0,0,0,0,0,0,0
71,Male,866624,Business,Secondary,OBC,Haryana,0,0,0.01,1,8,0,0,0,0,1,1,0,1
59,Female,975207,Student,Secondary,SC,Punjab,0,0,0.39,0,3,1,0,0,1,1,0,0,1
21,Male,638481,Student,Secondary,OBC,West Bengal,0,0,0.85,0,8,0,0,0,0,0,0,0,1
71,Male,623453,Unemployed,Illiterate,OBC,Bihar,0,1,0.98,0,5,0,0,0,0,0,0,1,0
46,Male,884082,Student,Secondary,OBC,Punjab,0,0,0.67,0,5,0,0,0,0,0,0,0,1
35,Male,523197,Farmer,Graduate,OBC,Maharashtra,1,0,2.04,0,2,0,0,0,0,0,0,1,0
43,Female,946290,Student,Graduate,SC,Punjab,0,0,0.26,0,3,0,0,0,0,0,0,0,0
61,Male,655686,Business,Graduate,OBC,Bihar,0,0,0.52,1,8,0,0,0,0,0,1,0,0
51,Female,776470,Salaried,Primary,SC,Karnataka,0,0,0.74,0,1,0,0,0,0,0,0,0,0
27,Male,914317,Salaried,Graduate,OBC,Madhya Pradesh,0,0,0.5,0,4,0,0,0,0,0,0,0,0
79,Male,183329,Salaried,Primary,OBC,Bihar,0,0,0.09,0,6,0,0,0,0,0,0,0,0
53,Male,130588,Farmer,Illiterate,General,Karnataka,1,0,1.64,0,9,1,0,0,1,1,0,0,0
31,Male,395500,Business,Graduate,OBC,Gujarat,0,0,0.22,0,8,0,0,0,0,0,1,0,0
48,Male,807110,Business,Postgraduate,OBC,Bihar,0,0,0.1,0,5,0,0,0,0,0,0,0,0
65,Male,554186,Farmer,Secondary,General,Madhya Pradesh,1,0,7.33,0,7,0,0,0,1,1,0,0,0
32,Male,899941,Farmer,Primary,ST,Maharashtra,1,0,6.63,0,8,0,0,0,0,1,0,0,0
25,Male,776633,Unemployed,Primary,OBC,Gujarat,0,0,0.63,0,9,0,0,0,0,0,1,0,0
31,Female,343816,Business,Secondary,ST,Haryana,0,0,0.64,0,3,0,0,0,0,0,1,0,1
40,Female,762943,Business,Graduate,General,Tamil Nadu,0,0,0.26,0,8,0,0,0,0,0,1,0,0
77,Male,542552,Business,Illiterate,OBC,Haryana,0,1,0.96,0,3,0,0,0,0,0,0,1,0
74,Male,314257,Student,Graduate,General,West Bengal,0,0,0.82,0,1,0,0,0,0,0,0,0,0
79,Female,292838,Salaried,Primary,General,Punjab,0,0,0.11,0,4,0,0,0,0,0,0,0,0
57,Female,45588,Student,Graduate,SC,Karnataka,0,0,0.75,1,7,0,1,1,1,0,0,0,1
38,Female,747116,Farmer,Postgraduate,General,Gujarat,1,0,5.71,0,9,0,0,0,0,1,0,0,0
33,Male,487301,Salaried,Secondary,OBC,Punjab,0,0,0.75,0,7,0,0,0,0,0,0,0,0
62,Female,796719,Student,Primary,General,Madhya Pradesh,0,0,0.8,0,5,0,0,0,0,0,0,0,0
35,Female,275456,Salaried,Graduate,OBC,Haryana,0,0,0.15,0,1,0,0,0,1,0,0,0,0
64,Female,746502,Student,Secondary,SC,Gujarat,0,0,0.66,0,1,0,0,0,0,0,0,0,1
70,Female,94373,Student,Secondary,OBC,West Bengal,0,0,0.86,1,9,0,1,1,1,0,0,0,1
41,Male,902035,Farmer,Secondary,SC,Tamil Nadu,1,0,8.36,0,4,0,0,0,0,1,0,0,0
43,Male,560992,Farmer,Primary,OBC,Karnataka,1,0,2.52,0,3,1,0,0,0,1,0,0,0
42,Female,70136,Farmer,Graduate,ST,Madhya Pradesh,1,0,4.44,1,5,1,1,1,0,1,0,0,0
77,Female,621795,Farmer,Primary,SC,West Bengal,1,0,5.51,1,7,1,1,0,0,1,0,0,0
77,Male,77361,Unemployed,Postgraduate,OBC,Karnataka,0,0,0.0,1,7,0,1,1,0,0,0,0,0
77,Male,875279,Farmer,Primary,OBC,Maharashtra,1,0,9.25,1,5,0,0,0,0,1,0,0,0
62,Male,922791,Farmer,Graduate,ST,Karnataka,1,1,3.28,0,8,0,1,0,0,1,0,1,0
58,Male,172513,Salaried,Primary,OBC,Punjab,0,0,0.11,0,5,0,0,0,0,0,0,0,1
46,Female,411050,Salaried,Primary,SC,West Bengal,1,0,9.21,0,4,0,0,0,0,1,0,0,0
32,Female,44677,Farmer,Primary,OBC,Punjab,1,1,2.56,0,6,1,0,0,0,1,0,1,0
62,Male,844250,Salaried,Graduate,General,Haryana,0,0,0.9,0,3,0,0,0,1,0,0,0,0
18,Male,294012,Salaried,Secondary,SC,Haryana,0,0,0.25,0,4,1,0,0,0,1,0,0,0
42,Male,637879,Farmer,Graduate,OBC,Uttar Pradesh,1,0,9.77,0,8,0,0,0,0,1,0,0,0
24,Male,940394,Farmer,Primary,OBC,Uttar Pradesh,1,0,5.59,0,3,0,0,1,0,1,0,0,0
26,Female,359408,Unemployed,Secondary,OBC,Haryana,0,0,0.91,0,3,0,0,0,0,0,1,1,0
41,Female,627456,Business,Graduate,General,Gujarat,0,0,0.88,0,6,0,0,0,0,0,1,0,0
18,Female,697403,Salaried,Primary,SC,Bihar,0,0,0.79,0,8,1,0,0,0,0,0,0,0
61,Male,101939,Farmer,Secondary,ST,Maharashtra,1,0,8.27,1,2,0,1,1,0,1,0,0,0
25,Female,307876,Student,Secondary,SC,Karnataka,0,1,0.08,0,1,0,0,0,0,0,0,0,1
41,Female,871676,Salaried,Primary,OBC,West Bengal,0,0,0.49,1,1,0,0,0,0,0,0,0,0
28,Female,441742,Farmer,Primary,OBC,Rajasthan,1,0,8.49,0,7,0,0,0,0,1,0,0,0
68,Male,825772,Student,Secondary,SC,Maharashtra,0,1,1.0,0,2,0,1,0,0,0,0,1,1
34,Male,789848,Salaried,Primary,OBC,Uttar Pradesh,0,0,0.36,0,9,0,0,0,0,0,0,0,0
25,Male,838826,Farmer,Graduate,OBC,Tamil Nadu,1,0,4.69,0,4,0,0,0,0,1,0,1,0
52,Male,390701,Salaried,Postgraduate,ST,Rajasthan,0,0,0.77,0,7,0,0,0,0,0,0,0,0
52,Male,165174,Business,Secondary,OBC,Bihar,0,0,0.41,1,5,0,1,1,0,0,0,0,0
50,Male,525062,Farmer,Secondary,OBC,Karnataka,1,0,1.67,0,5,0,0,0,0,1,0,0,0
76,Male,573447,Business,Illiterate,General,Rajasthan,1,0,2.94,0,7,0,0,0,0,1,0,0,0
22,Female,152366,Farmer,Graduate,General,West Bengal,1,0,2.34,1,9,1,1,1,0,1,0,0,0
59,Male,226164,Business,Primary,General,Madhya Pradesh,0,0,0.83,0,4,0,0,0,0,0,0,0,0
56,Male,822644,Farmer,Secondary,ST,Madhya Pradesh,1,0,6.96,0,9,0,0,0,0,1,0,0,0
75,Female,520576,Farmer,Postgraduate,OBC,Punjab,1,0,4.78,0,9,0,0,1,0,1,0,0,0
58,Female,853837,Salaried,Secondary,OBC,Gujarat,0,0,0.16,0,8,0,0,0,0,0,0,0,0
45,Female,422776,Student,Graduate,SC,Haryana,0,0,0.04,0,1,0,0,0,0,0,0,1,1
24,Other,369205,Business,Secondary,OBC,Rajasthan,0,0,0.26,0,9,0,0,0,0,0,1,0,0
26,Female,386440,Student,Illiterate,OBC,Uttar Pradesh,1,0,1.23,0,3,1,0,0,0,1,0,0,1
25,Female,871618,Farmer,Graduate,General,Gujarat,1,0,5.34,0,8,0,0,0,0,1,0,0,0
29,Male,991743,Student,Illiterate,SC,Madhya Pradesh,0,0,0.55,0,5,0,0,0,0,0,0,0,1
51,Male,796164,Student,Graduate,General,Bihar,0,0,0.45,0,6,0,0,0,0,0,0,0,0
50,Male,778353,Farmer,Illiterate,General,Rajasthan,1,0,3.61,0,3,0,0,0,0,1,0,0,1
65,Male,415289,Salaried,Graduate,General,Bihar,0,0,0.62,0,7,0,0,0,0,0,0,0,0
72,Male,536767,Salaried,Primary,General,Bihar,0,0,0.5,0,2,0,0,0,0,0,0,0,1
40,Female,564820,Business,Secondary,General,Rajasthan,0,0,0.33,0,3,0,0,0,0,0,1,0,0
79,Female,240126,Unemployed,Secondary,OBC,Uttar Pradesh,1,0,5.18,0,2,0,0,0,0,1,0,0,0
41,Female,246351,Farmer,Secondary,General,Rajasthan,1,0,4.59,0,9,0,0,0,0,1,0,0,0
54,Male,358684,Salaried,Primary,OBC,Andhra Pradesh,0,1,0.64,0,3,0,0,0,0,0,0,1,0
52,Female,133021,Student,Secondary,General,Punjab,0,0,0.96,1,8,0,1,1,1,1,0,1,0
61,Female,819703,Salaried,Primary,General,Uttar Pradesh,0,0,0.73,1,6,0,0,0,0,0,0,0,0
57,Male,992986,Student,Secondary,OBC,Andhra Pradesh,0,0,0.42,0,1,1,0,0,0,0,0,0,1
39,Female,30209,Unemployed,Primary,ST,Karnataka,0,0,0.75,0,6,0,0,0,0,0,1,0,0
44,Male,252071,Salaried,Secondary,SC,Andhra Pradesh,0,0,0.81,0,8,0,0,0,0,0,0,0,0
52,Male,690899,Unemployed,Primary,ST,Madhya Pradesh,0,1,0.33,0,3,0,0,0,0,0,0,1,0
18,Female,836409,Business,Postgraduate,OBC,West Bengal,1,0,9.96,0,7,0,0,0,0,1,1,0,0
52,Male,235214,Business,Secondary,OBC,Punjab,0,0,0.43,0,6,0,0,0,0,0,0,0,0
54,Male,139920,Business,Primary,OBC,Rajasthan,1,0,1.96,0,1,1,0,1,0,1,0,0,0
64,Female,420300,Student,Secondary,OBC,Andhra Pradesh,0,0,0.3,0,2,0,0,0,0,0,0,0,1
31,Female,391732,Farmer,Graduate,General,Gujarat,1,0,3.61,0,5,0,0,0,0,1,0,1,0
20,Male,360828,Student,Illiterate,OBC,Haryana,0,0,0.57,0,7,0,0,0,0,0,0,0,1
18,Male,260144,Farmer,Secondary,OBC,Andhra Pradesh,1,0,5.21,0,4,0,0,0,0,1,0,0,0
22,Male,940294,Student,Secondary,OBC,Rajasthan,0,0,0.42,0,6,1,0,0,0,0,0,0,1
43,Female,297751,Student,Primary,OBC,Gujarat,0,0,0.35,0,2,0,0,0,0,0,0,0,1
72,Male,246194,Student,Graduate,General,Maharashtra,0,0,0.15,0,5,0,0,0,0,1,0,0,0
31,Male,386930,Unemployed,Primary,OBC,Gujarat,1,0,7.95,0,3,1,0,0,0,1,1,0,0
56,Female,418550,Business,Primary,General,Gujarat,0,0,0.32,0,1,0,0,0,0,0,0,0,0
44,Female,213011,Farmer,Graduate,ST,Uttar Pradesh,1,0,6.18,1,6,0,1,1,0,1,0,0,0
26,Male,703954,Student,Secondary,General,Haryana,0,0,0.36,0,9,0,0,0,0,0,0,0,0
32,Female,481598,Student,Graduate,General,Andhra Pradesh,0,0,0.01,0,8,0,0,0,0,0,0,0,0
32,Female,37399,Student,Secondary,SC,Andhra Pradesh,0,0,0.58,1,4,1,1,1,1,0,0,0,1
43,Male,544242,Salaried,Graduate,OBC,Tamil Nadu,0,0,0.14,0,8,0,1,0,0,0,0,0,0
59,Male,681100,Student,Graduate,General,Gujarat,1,0,6.2,0,5,0,0,0,0,1,0,1,0
77,Female,972621,Salaried,Illiterate,OBC,Haryana,0,0,0.12,0,3,0,0,0,0,0,0,0,0
30,Male,128662,Business,Graduate,General,Punjab,0,0,0.52,0,4,0,0,0,0,0,1,0,0
68,Female,325761,Business,Secondary,General,West Bengal,1,0,8.89,0,7,0,0,0,0,1,1,0,0
49,Male,692858,Farmer,Illiterate,General,Uttar Pradesh,1,0,1.67,0,5,0,0,0,0,1,0,0,0
56,Male,919258,Salaried,Secondary,OBC,Uttar Pradesh,1,0,5.0,1,4,0,0,0,0,1,0,0,0
66,Male,802592,Student,Illiterate,SC,Uttar Pradesh,0,0,0.17,0,3,0,0,1,0,0,0,0,1
69,Male,946283,Farmer,Graduate,OBC,Andhra Pradesh,1,0,5.77,1,3,0,0,0,0,1,0,0,0
78,Male,403221,Farmer,Secondary,OBC,Punjab,1,0,6.69,0,6,1,0,1,0,1,0,0,0
49,Male,867056,Student,Postgraduate,General,Tamil Nadu,0,0,0.86,0,8,0,0,0,0,0,1,0,0
21,Female,826060,Student,Primary,OBC,Bihar,0,0,0.79,1,4,0,0,0,0,0,0,0,1
47,Other,423545,Farmer,Secondary,SC,Rajasthan,1,0,8.64,0,1,0,0,0,0,1,0,0,0
54,Female,330763,Salaried,Primary,General,Maharashtra,0,0,0.53,0,4,0,0,0,0,0,1,0,0
40,Female,37032,Salaried,Secondary,SC,Maharashtra,0,0,0.58,1,5,0,1,1,0,0,0,0,0
56,Male,733454,Farmer,Graduate,OBC,Rajasthan,1,0,3.12,0,8,0,0,0,0,1,0,0,0
62,Female,330178,Farmer,Graduate,SC,Uttar Pradesh,1,0,6.55,0,7,0,0,0,0,1,0,1,1
32,Male,656946,Business,Graduate,OBC,Karnataka,0,0,0.56,0,2,0,0,0,0,0,1,0,0
60,Female,937555,Farmer,Graduate,OBC,Rajasthan,1,0,4.14,0,9,0,0,0,0,1,1,0,0
46,Other,545882,Unemployed,Illiterate,SC,Bihar,0,0,0.55,0,3,0,0,1,0,0,0,0,0
53,Female,902590,Salaried,Primary,SC,Bihar,0,0,0.08,0,9,0,0,0,0,1,0,0,0
30,Other,609552,Farmer,Secondary,General,Gujarat,1,0,6.15,0,1,0,0,0,0,1,0,0,0
49,Female,648408,Farmer,Secondary,ST,Haryana,1,0,6.33,0,9,0,0,1,0,0,0,0,0
24,Male,77850,Farmer,Primary,General,Gujarat,1,0,5.57,1,7,0,1,1,0,1,0,0,0
76,Male,559010,Farmer,Secondary,General,Gujarat,1,0,6.49,0,2,0,0,0,0,1,0,0,0
68,Female,309916,Farmer,Secondary,OBC,Gujarat,1,0,2.09,0,7,0,0,0,0,1,0,0,0
39,Male,378249,Salaried,Primary,SC,Karnataka,0,0,0.2,0,1,0,0,0,0,0,0,0,0
45,Female,464895,Farmer,Graduate,ST,Karnataka,1,0,3.69,0,3,0,0,0,0,1,0,0,0
19,Other,34576,Student,Secondary,OBC,Tamil Nadu,0,0,0.04,1,7,0,1,1,1,0,1,0,1
59,Male,712067,Salaried,Illiterate,General,Maharashtra,0,0,0.46,0,3,0,0,0,0,0,0,0,1
62,Female,391548,Farmer,Illiterate,OBC,Andhra Pradesh,1,0,5.0,0,2,0,0,0,0,1,0,0,0
79,Female,464848,Farmer,Graduate,General,Karnataka,1,0,6.4,0,5,0,0,0,0,1,0,0,0
74,Female,595764,Farmer,Postgraduate,OBC,Madhya Pradesh,1,0,8.46,0,3,0,0,0,0,1,0,0,0
70,Female,278292,Farmer,Secondary,OBC,Bihar,1,0,5.09,1,9,0,1,1,0,1,0,0,0
23,Female,453501,Salaried,Primary,General,Punjab,0,0,0.72,0,7,0,0,0,0,0,0,0,0
45,Female,840586,Farmer,Postgraduate,OBC,Andhra Pradesh,1,0,5.14,0,1,0,0,0,0,1,1,0,0
45,Female,443270,Salaried,Secondary,OBC,Bihar,0,0,0.35,0,1,0,0,0,0,0,0,1,0
61,Male,309309,Student,Graduate,SC,Gujarat,0,0,0.93,0,6,0,0,0,0,0,0,0,1
61,Male,44439,Student,Graduate,OBC,Karnataka,0,0,0.73,1,4,0,0,0,1,0,0,0,1
37,Female,410355,Student,Primary,General,Andhra Pradesh,0,0,0.59,0,1,0,0,0,0,0,0,0,0
47,Male,598806,Salaried,Secondary,General,Uttar Pradesh,0,0,0.56,0,9,0,0,0,0,0,0,0,0
79,Female,249123,Farmer,Primary,General,Haryana,1,0,2.49,0,2,0,0,0,0,1,0,1,0
28,Female,581250,Farmer,Primary,General,Tamil Nadu,1,0,1.83,0,1,0,0,0,0,1,1,0,0
75,Male,793445,Salaried,Graduate,OBC,Madhya Pradesh,1,0,3.85,0,3,0,0,0,0,1,0,0,0
72,Female,329907,Farmer,Graduate,ST,Madhya Pradesh,1,0,0.96,0,1,0,1,0,0,1,0,0,0
45,Female,146189,Student,Graduate,OBC,Maharashtra,0,0,0.97,0,4,0,0,0,1,0,0,0,1
42,Male,140290,Salaried,Secondary,OBC,Gujarat,0,1,0.24,0,4,0,0,0,0,1,0,1,0
56,Male,927246,Student,Illiterate,OBC,Punjab,0,0,0.45,0,6,0,0,0,0,0,0,0,1
79,Male,835896,Salaried,Illiterate,OBC,Punjab,0,1,0.02,0,3,0,0,0,0,0,1,1,0
50,Male,989540,Student,Primary,ST,Madhya Pradesh,0,0,0.55,0,9,0,0,0,0,0,0,0,1
18,Female,153980,Salaried,Secondary,ST,West Bengal,0,0,0.38,0,6,0,0,0,1,0,0,0,0
74,Male,257021,Salaried,Secondary,OBC,West Bengal,0,0,0.25,0,7,0,0,0,0,0,0,0,0
44,Female,718630,Student,Illiterate,General,Rajasthan,0,0,0.99,0,6,0,0,0,0,0,0,0,1
79,Male,72299,Salaried,Postgraduate,SC,Madhya Pradesh,0,0,0.43,1,9,0,1,1,0,0,0,0,1
74,Male,771165,Business,Primary,General,Andhra Pradesh,0,0,0.41,0,2,0,0,0,0,0,0,0,1
69,Female,61541,Student,Graduate,SC,Karnataka,0,0,0.46,1,8,0,1,1,1,0,0,0,1
30,Female,365689,Student,Secondary,SC,Uttar Pradesh,0,0,0.12,0,5,0,0,0,0,0,0,1,1
58,Male,505759,Salaried,Illiterate,General,Maharashtra,0,0,0.39,0,2,0,0,0,0,0,0,0,0
20,Male,777358,Salaried,Graduate,ST,Gujarat,0,0,0.34,0,7,0,0,0,0,0,0,0,0
56,Male,159188,Farmer,Graduate,ST,Punjab,1,0,5.55,0,5,1,0,0,0,1,0,0,0
